"redcap_id","recruit_date","source","recruit_int_summ","ps_proj_eligible","screened","sl_status","randomized","complete","rand_proj"
"518",2021-10-19,"google","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"520",2021-10-19,"google","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"521",2021-10-20,"facebook","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"525",2021-10-22,"BuildClinical","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"526",2021-10-22,"BuildClinical","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"527",2021-10-22,"BuildClinical","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"528",2021-10-22,"BuildClinical","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"530",2021-10-23,"flyer","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"531",2021-10-23,"BuildClinical","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"533",2021-10-23,"flyer","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"534",2021-10-24,"front_porch_forum","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"537",2021-10-25,"craigslist","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"539",2021-10-25,"front_porch_forum","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"540",2021-10-26,"BuildClinical","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"541",2021-10-26,"BuildClinical","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"542",2021-10-26,"BuildClinical","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"543",2021-10-26,"front_porch_forum","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"544",2021-10-27,"TV","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"545",2021-10-27,"BuildClinical","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"546",2021-10-27,"neighborhood_news","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"547",2021-10-27,"BuildClinical","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"548",2021-10-28,"BuildClinical","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"550",2021-10-28,"BuildClinical","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"555",2021-10-31,"other","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"556",2021-10-31,"BuildClinical","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"557",2021-10-31,"craigslist","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"559",2021-11-01,"front_porch_forum","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"561",2021-11-05,"front_porch_forum","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"564",2021-11-08,"neighborhood_news","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"567",2021-11-10,"BuildClinical","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"568",2021-11-10,"BuildClinical","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"570",2021-11-10,"TV","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
